state,population,white_population_rate,black_population_rate,hispanic_population_rate,asian_population_rate,suicide_rate,homicide_rate,nominal_gdp,nominal_gdp_per_capita,real_gdp,real_gdp_per_capita,very_important_rate,somewhat_important_rate,not_important_rate,christian_rate,non-christian_rate,unaffiliated_rate,conservative_rate,moderate_rate,liberal_rate,neutral_rate,urban_rate,rural_rate,area,population_density,sun_rate,sun_total_hours,unemployment_rate
NV,3104608,0.45930210834991086,0.11111064585287418,0.28675343231738115,0.11320978365062513,0.000182,7.3e-05,172562.6,0.05558273379441141,146492.5,0.04718550618950927,0.44,0.39,0.16,0.66,0.05999999999999994,0.28,0.33,0.37,0.24,0.05,0.941,0.05900000000000005,286380.0,10.840868775752497,0.79,3646.0,13.5
NH,1377445,0.871608666770724,0.020661442017648617,0.043151632188581035,0.03358101412397591,0.00016399999999999997,0.0,88337.7,0.06413156242173008,75927.6,0.055122055690063856,0.33,0.5,0.15,0.59,0.050000000000000044,0.36,0.34,0.34,0.28,0.04,0.583,0.41700000000000004,24214.0,56.88630544313207,0.54,2519.0,6.7
NJ,9288700,0.5185105558366617,0.13580328786590157,0.21558635761731998,0.109447070095923,7.099999999999999e-05,4.2999999999999995e-05,620085.9,0.06675701659005027,535323.7,0.05763171380279263,0.5,0.39,0.09,0.67,0.1499999999999999,0.18,0.29,0.37,0.28,0.07,0.938,0.062000000000000055,22591.0,411.16816431322206,0.56,2499.0,9.4
NM,2117476,0.3650303474513997,0.024351633737525243,0.4773532261994941,0.023149731094945114,0.000242,0.00010800000000000001,98790.0,0.04665460198840506,92496.3,0.04368233689543589,0.59,0.26,0.13,0.75,0.040000000000000036,0.21,0.34,0.36,0.23,0.07,0.745,0.255,314917.0,6.723917730703645,0.76,3415.0,7.9
NY,20200925,0.5246690436205272,0.15113897012141772,0.19543308041587204,0.10412280625763425,8e-05,4.7000000000000004e-05,1740804.7,0.08617450438531898,1432507.0,0.07091294086780679,0.45,0.39,0.15,0.6,0.13,0.27,0.29,0.34,0.31,0.06,0.8740000000000001,0.1259999999999999,141297.0,142.96782663467732,0.46,2120.0,9.8
NC,10439164,0.6046516751724563,0.21813221825042695,0.1071490973798285,0.039532763351548074,0.00013199999999999998,8.599999999999999e-05,598915.9,0.05737201752937304,506658.1,0.04853435581623203,0.62,0.3,0.08,0.77,0.030000000000000027,0.2,0.4,0.32,0.23,0.05,0.667,0.33299999999999996,139391.0,74.89123401080414,0.6,2651.0,7.2
ND,779074,0.8165527279821942,0.04220266624223116,0.04287654317818333,0.02411195855592665,0.000182,4.4000000000000006e-05,54422.9,0.06985588018596436,53653.6,0.06886842584914912,0.53,0.38,0.09,0.77,0.030000000000000027,0.2,0.45,0.3,0.22,0.03,0.61,0.39,183108.0,4.254723988028923,0.59,2738.0,5.0
OH,11799388,0.7588614765443767,0.14038677260210444,0.044181274486439465,0.031231365558959497,0.00013800000000000002,9.1e-05,684382.5,0.05800152516384748,594143.6,0.050353764110477595,0.56,0.33999999999999997,0.1,0.73,0.050000000000000044,0.22,0.4,0.32,0.21,0.07,0.763,0.237,116098.0,101.63299970714397,0.5,2183.0,8.2
OK,3959221,0.6079797010573544,0.09229947002200685,0.11919289173299495,0.031542568601247566,0.00021899999999999998,9e-05,190063.6,0.0480053020531059,192485.5,0.04861701329630248,0.64,0.27,0.08,0.79,0.030000000000000027,0.18,0.38,0.37,0.19,0.06,0.6459999999999999,0.3540000000000001,181037.0,21.869678573993163,0.68,3089.0,6.3
OR,4236862,0.7165598029862668,0.02861362961550317,0.1389412730459477,0.0672939076137009,0.000183,3.7999999999999995e-05,247966.7,0.05852602704548791,215743.6,0.05092061058396521,0.45,0.37,0.17,0.61,0.08000000000000007,0.31,0.3,0.34,0.3,0.06,0.805,0.19499999999999995,254799.0,16.6282520732028,0.48,2341.0,7.6
PA,13002583,0.7347296302588493,0.11852814167769589,0.08072157662827455,0.045159027248662824,0.000126,8.5e-05,771613.2,0.05934307052683301,680957.4,0.05237093276005237,0.51,0.38,0.11,0.73,0.06000000000000005,0.21,0.36,0.34,0.23,0.08,0.765,0.235,119280.0,109.00891180415829,0.58,2614.0,8.9
RI,1097390,0.6871367517473278,0.07451407430357485,0.1659410054766309,0.042430676423149474,8.5e-05,3e-05,60770.6,0.05537739545649222,51516.1,0.04694420397488586,0.48,0.35,0.18,0.75,0.050000000000000044,0.2,0.26,0.35,0.3,0.08,0.9109999999999999,0.08900000000000008,4001.0,274.27893026743317,0.58,2606.0,9.2
SC,5118334,0.6210055850204383,0.2631395293859291,0.06893336777162257,0.023317743625171784,0.000163,0.000127,245359.5,0.04793737571639522,208234.1,0.040683960835693804,0.69,0.24,0.06,0.78,0.030000000000000027,0.19,0.43,0.35,0.15,0.06,0.679,0.32099999999999995,82933.0,61.71649403735545,0.64,2826.0,6.0
SD,886602,0.7957696914737391,0.028116336304226698,0.04369604399719378,0.020657521638796212,0.00021,6.5e-05,55681.2,0.06280292622845425,47402.4,0.053465252728958426,0.57,0.32999999999999996,0.09,0.79,0.030000000000000027,0.18,0.47,0.32,0.15,0.05,0.5720000000000001,0.42799999999999994,199729.0,4.4390248787106525,0.63,2947.0,4.2
TN,6910670,0.7090706110984897,0.17004849023321905,0.0693364029826341,0.0252869837512137,0.00017199999999999998,0.000115,379007.1,0.05484375610469028,323454.0,0.046805013117396724,0.71,0.22999999999999998,0.06,0.81,0.04999999999999993,0.14,0.46,0.27,0.19,0.08,0.662,0.33799999999999997,109153.0,63.31177338231657,0.56,2510.0,7.5
TX,29145070,0.39747679453163093,0.12790115103514935,0.3925701670985865,0.061091910227012665,0.000133,7.599999999999999e-05,1789933.4,0.06141462003693935,1747562.0,0.05996080983850785,0.63,0.30000000000000004,0.08,0.77,0.050000000000000044,0.18,0.39,0.32,0.21,0.07,0.8370000000000001,0.16299999999999992,695662.0,41.89544635182028,0.61,2850.0,7.7
UT,3271577,0.7535619672103087,0.017720811706403366,0.15066189791650939,0.05033413549490047,0.00020800000000000001,2.9e-05,202133.4,0.06178469893876867,174954.7,0.05347717629754703,0.58,0.29000000000000004,0.11,0.73,0.050000000000000044,0.22,0.45,0.31,0.2,0.04,0.898,0.10199999999999998,219882.0,14.878784984673597,0.66,3029.0,4.8
VT,643046,0.8913499189793577,0.020594172112103955,0.024097809487968202,0.024839591568876877,0.000181,0.0,34018.6,0.052902280707756516,29064.6,0.04519832173748067,0.32,0.45999999999999996,0.22,0.54,0.08999999999999997,0.37,0.3,0.32,0.35,0.03,0.35100000000000003,0.649,24906.0,25.818919135951177,0.49,2295.0,5.7
VA,8631035,0.5860576396689389,0.2012069236192415,0.10527891498528276,0.08483466930675174,0.000135,6.4e-05,556992.6,0.06453369729122868,478909.3,0.05548689120134491,0.6,0.31,0.08,0.73,0.07000000000000006,0.2,0.39,0.37,0.19,0.05,0.7559999999999999,0.2440000000000001,110787.0,77.9065684601984,0.63,2829.0,6.5
WA,7704383,0.6383766227613554,0.05345048396477693,0.13746266248705444,0.12591533935942698,0.00015199999999999998,4.2000000000000004e-05,612969.1,0.07956108879841513,538856.1,0.06994149953344739,0.44,0.4,0.16,0.61,0.07000000000000006,0.32,0.3,0.33,0.3,0.07,0.8340000000000001,0.16599999999999993,184661.0,41.721765830359416,0.47,2170.0,8.5
WV,1793616,0.8913524411022203,0.04901104807272014,0.01941664213521735,0.012187112514607364,0.000194,7e-05,76547.9,0.042677975664802276,70444.2,0.039274961864746966,0.64,0.29000000000000004,0.05,0.78,0.040000000000000036,0.18,0.47,0.3,0.16,0.06,0.446,0.554,62756.0,28.58078908789598,0.47,2170.0,8.2
WI,5893596,0.7862651257398708,0.07299550223666501,0.07589322376355624,0.036007727709873566,0.000145,6.1e-05,340591.1,0.05779003175650316,293104.9,0.049732777747236154,0.44,0.43,0.12,0.71,0.040000000000000036,0.25,0.41,0.36,0.19,0.04,0.6709999999999999,0.32900000000000007,169635.0,34.74280661420108,0.54,2428.0,6.4
WY,576848,0.8141902199539567,0.014395473330929465,0.10236145397054337,0.016309322386486563,0.000305,4.9000000000000005e-05,36330.4,0.06298088924638727,36268.6,0.06287375530469032,0.49,0.41000000000000003,0.09,0.71,0.030000000000000027,0.26,0.41,0.33,0.17,0.09,0.62,0.38,253335.0,2.2770165985750093,0.68,3073.0,5.9
